rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
450,Lava,2,not_yet_triaged,no,
451,Neue Frutiger Condensed,2,known_non_google,no,
452,Morisawa UD Shin Go Conde,2,known_non_google_variant,no,
453,Fontworks UD Kakugo C80,2,known_non_google_variant,no,
454,AXIS Font Japanese Condensed,2,known_non_google_variant,no,
455,Tazugane Info,2,not_yet_triaged,no,
456,Object Sans,2,not_yet_triaged,no,
457,M PLUS 2,2,exact,yes,514
458,HackGen,2,not_yet_triaged,no,
459,Tipo Pépel,2,not_yet_triaged,no,
460,Berthold Akzidenz Grotesk,2,known_non_google,no,
461,DIN Condensed,2,known_non_google,no,
462,Eurostile Extended Black,2,known_non_google,no,
463,Freight Display,2,not_yet_triaged,no,
464,Miller Display,2,not_yet_triaged,no,
465,Requiem Text,2,known_non_google_variant,no,
466,Requiem Display,2,known_non_google_variant,no,
467,Farnham Text,2,known_non_google_variant,no,
468,Apax,2,known_non_google,no,
469,Stratos,2,not_yet_triaged,no,
470,PF DIN Display,2,not_yet_triaged,no,
471,Skolar Sans PE,2,known_non_google_variant,no,
472,Liberation Mono,2,known_non_google,no,
473,Adelle Sans,2,known_non_google_variant,no,
474,PT Sans Pro,2,paid_extension_of,no,
475,Mrs Eaves,2,not_yet_triaged,no,
476,PF DIN Pro,2,known_non_google,no,
477,Yomogi,2,exact,yes,1107
478,Yusei Magic,2,exact,yes,695
479,Hannari Mincho,2,not_yet_triaged,no,
480,Druk Text Wide,2,known_non_google_variant,no,
481,Clarendon,2,generic_historical_name,no,
482,Morisawa Ryumin,2,not_yet_triaged,no,
483,Kozuka Mincho Pr6N,2,known_non_google_variant,no,
484,Titling Gothic FB,2,not_yet_triaged,no,
485,Fedra Serif B,2,known_non_google_variant,no,
486,Helvetica Now Greek,2,known_non_google,no,
487,Fedra Serif A,2,known_non_google_variant,no,
488,Bodoni,2,generic_historical_name,no,
489,Tahoma,2,system_font,no,
490,Marmelad,2,exact,yes,710
491,Sniglet,2,exact,yes,632
492,Hiragino Maru Gothic ProN,2,not_yet_triaged,no,
493,Fontworks TsukuARdGothic,2,not_yet_triaged,no,
494,FOT-Seurat,2,known_non_google,no,
495,A-OTF Shin Maru Go,2,known_non_google,no,
496,Josefin Sans,2,exact,yes,85
497,Greta Text Condensed,2,known_non_google,no,
498,DIN Pro Bold,2,known_non_google,no,
499,Axis Std Bold,2,known_non_google,no,
500,Morisawa Shin Go,2,known_non_google,no,
501,Crimson Text,2,exact,yes,105
502,Source Han Sans Japanese,2,known_non_google_variant,no,
503,Fontworks New Rodin,2,known_non_google,no,
504,SST JP,2,not_yet_triaged,no,
505,Omnes,2,not_yet_triaged,no,
506,TBUD Maru Gothic,2,not_yet_triaged,no,
507,Morisawa UD Shin Maru Go,2,not_yet_triaged,no,
508,CMU Serif,2,known_non_google,no,
509,Newzald,2,not_yet_triaged,no,
510,ALS Hauss,2,known_non_google,no,
511,TP Sky,2,known_non_google,no,
512,PT Serif Caption,2,exact,yes,661
513,Source Han Mono,2,not_yet_triaged,no,
514,Helvetica Greek,2,known_non_google,no,
515,Univers Greek,2,known_non_google,no,
516,Overpass,2,exact,yes,104
517,Akzidenz-Grotesk Pro,2,known_non_google_variant,no,
518,Styrene,2,not_yet_triaged,no,
519,Styrene A,2,not_yet_triaged,no,
520,Geometria,2,not_yet_triaged,no,
521,CoFo Peshka,2,known_non_google,no,
522,Sentinel,2,not_yet_triaged,no,
523,DIN 2014 Extra Bold,2,known_non_google_variant,no,
524,Interstate,2,known_non_google,no,
525,Univers Next Condensed Black,2,known_non_google,no,
526,Frutiger Condensed,2,known_non_google,no,
527,Helvetica Neue Condensed Black,2,known_non_google,no,
528,Bangers,2,exact,yes,251
529,Hiragino Maru Gothic,2,not_yet_triaged,no,
530,Podkova,2,exact,yes,576
531,Helvetica Now Micro,2,known_non_google_variant,no,
532,Helvetica Now Text,2,known_non_google_variant,no,
533,Frutiger Next,2,known_non_google_variant,no,
534,Wix Madefor Text,2,exact,yes,504
535,Vela Sans,2,not_yet_triaged,no,
536,RF Dewi,2,not_yet_triaged,no,
537,Navigo,2,not_yet_triaged,no,
538,Ubuntu Mono,2,exact,yes,353
539,Perpetua,2,not_yet_triaged,no,
540,Figtree,2,exact,yes,34
541,Knockout No. 48 Featherweight,2,known_non_google_variant,no,
542,Acumin Pro ExtraCondensed Black,2,known_non_google_variant,no,
543,Helvetica Now Condensed Black,2,known_non_google,no,
544,Benzin,2,known_non_google,no,
545,Mochiy Pop One,2,exact,yes,730
546,Mochiy Pop P One,2,exact,yes,1062
547,Eurostile LT Std Condensed,2,known_non_google_variant,no,
548,Inconsolata,2,exact,yes,41
549,SF Mono,2,system_font,no,
550,Söhne Mono,2,known_non_google_variant,no,
551,Editorial New,2,known_non_google,no,
552,ABCDiatype Mono,2,not_yet_triaged,no,
553,Stick,2,exact,yes,1148
554,Ogg,2,not_yet_triaged,no,
555,DIN 1451 Engschrift Bold,2,known_non_google_variant,no,
556,Microgramma Bold Extended,2,not_yet_triaged,no,
557,Letter Gothic,2,not_yet_triaged,no,
558,PF Grand Gothik,2,not_yet_triaged,no,
559,Value Serif,2,not_yet_triaged,no,
560,Ogg Text,2,not_yet_triaged,no,
561,PragmataPro,2,not_yet_triaged,no,
562,PF Centro Slab Pro,2,not_yet_triaged,no,
563,Bree Greek,2,known_non_google,no,
564,Fedra Sans Greek,2,known_non_google,no,
565,FF Meta Greek,2,known_non_google,no,
566,PF Encore Sans Pro,2,not_yet_triaged,no,
567,Bodoni Moda,2,exact,yes,144
568,Philosopher,2,exact,yes,288
569,Latin Modern Roman,2,not_yet_triaged,no,
570,BIZ UDPMincho,2,exact,yes,669
571,Darker Grotesque,2,exact,yes,493
572,Helvetica,2,known_non_google,no,
573,Encode Sans,2,exact,yes,186
574,Mona Sans,2,exact,yes,409
575,Input Serif,2,not_yet_triaged,no,
576,GT America Expanded,1,known_non_google,no,
577,ABC Favorit Mono,1,known_non_google_variant,no,
578,Saira Stencil,1,renamed_family,yes,1913
579,Big Shoulders,1,renamed_family,yes,539
580,NB International,1,known_non_google,no,
581,Authentic Sans,1,known_non_google,no,
582,Suisse Int’l Mono,1,known_non_google,no,
583,Black Ops One,1,exact,yes,56
584,Aptos Mono,1,system_font_variant,no,
585,Apoc,1,known_non_google,no,
586,SF Pro,1,system_font,no,
587,Gentium,1,known_non_google,no,
588,FF Meta,1,known_non_google,no,
589,Helvetica Now World,1,known_non_google,no,
590,Kazimir Text Bold,1,known_non_google,no,
591,Activist,1,not_yet_triaged,no,
592,Pragmatica Condensed Black,1,known_non_google,no,
593,TT Firs Neue Condensed ExtraBold,1,known_non_google,no,
594,Reforma Grotesk,1,known_non_google,no,
595,TT Firs Neue Condensed,1,known_non_google,no,
596,Molot,1,known_non_google,no,
597,Roobert,1,known_non_google,no,
598,ABC Whyte,1,known_non_google,no,
599,GT America Condensed,1,known_non_google,no,
600,Dinamo ABC Arizona,1,known_non_google,no,
601,DIN Next Compressed,1,known_non_google,no,
602,Akzidenz-Grotesk Condensed,1,known_non_google,no,
603,Trim Condensed,1,known_non_google,no,
604,ABC Ginto,1,known_non_google,no,
605,Sharp Grotesk,1,known_non_google,no,
606,GT Walsheim,1,known_non_google,no,
607,Filson Pro,1,known_non_google,no,
608,PF DIN Text Pro Condensed,1,known_non_google,no,
609,Right Grotesk,1,known_non_google,no,
610,Whitney Condensed,1,known_non_google,no,
611,Helvetica Neue Black Condensed,1,known_non_google,no,
612,A-OTF Midashi Go MB31,1,known_non_google,no,
613,Bebas Kai,1,known_non_google,no,
614,Univers Ultra Condensed,1,known_non_google_variant,no,
615,Segoe UI,1,system_font,no,
616,DNP Shuei Mincho Pr6N,1,known_non_google,no,
617,Yu Gothic Pr6N Bold,1,system_font_variant,no,
618,Hakusyu Gyosho,1,known_non_google,no,
619,Kozuka Gothic,1,known_non_google,no,
620,Shuei ShogoMincho,1,known_non_google,no,
621,Stanley,1,not_yet_triaged,no,
622,Greta Sans,1,known_non_google,no,
623,Comic Neue,1,exact,yes,257
624,Comic Sans MS,1,not_yet_triaged,no,
625,Sassoon Primary Greek,1,known_non_google,no,
626,Mikado,1,not_yet_triaged,no,
627,PF Kids Pro,1,not_yet_triaged,no,
628,PF Schoola Pro,1,not_yet_triaged,no,
629,Parmigiano Text,1,not_yet_triaged,no,
630,Baskerville Original Pro,1,not_yet_triaged,no,
631,SangBleu Republic,1,not_yet_triaged,no,
632,Baskerville PT,1,not_yet_triaged,no,
633,William,1,not_yet_triaged,no,
634,Austin Cyrillic,1,not_yet_triaged,no,
635,Hiragino Sans W3,1,system_font_variant,no,
636,Axis Std Condensed,1,known_non_google,no,
637,Hiragino Kaku Gothic ProN W3,1,system_font_variant,no,
638,Shuei MaruGothic,1,not_yet_triaged,no,
639,Ivar,1,not_yet_triaged,no,
640,TT Livret,1,not_yet_triaged,no,
